number,name,otherName
1,ДС Веснянка - Вокзал,ДС Веснянка - Кирова
1т,ДС Зелёный Луг-7 - Станция метро Московская,ДС Зелёный Луг-7 - Станция метро Московская
2с,ДС Лошица-2 - Станция метро Тракторный завод,ДС Лошица-2 - Станция метро Тракторный завод
3с,ДС Чижовка - Вокзал,ДС Чижовка - Вокзал
4,ДС Дружная - Железнодорожная станция Минск-Южный,ДС Дружная - Железнодорожная станция Минск-Южный
4д,Железнодорожная станция Минск-Южный - ДС Дружная,Железнодорожная станция Минск-Южный - ДС Дружная
5д,Михановичи (кладбище) - ДС Чижовка,Михановичи (кладбище) - ДС Чижовка
5э,ДС Чижовка - Михановичи (кладбище),ДС Чижовка - Михановичи (кладбище)
6,ДС Дружная - Брилевичи,ДС Дружная - Брилевичи
7,ДС Курасовщина - Колядичи,ДС Курасовщина - Колядичи
7а,ДС Курасовщина - Железнодорожная станция Колядичи - Колядичи,ДС Курасовщина - Колядичи
9,Серебрянка-9 - Завод железобетонных изделий,Серебрянка-9 - Завод железобетонных изделий
9д,ДС Шабаны - Серебрянка-9,ДС Шабаны - Серебрянка-9
11,ДС Веснянка - Маршала Лосика - ДС Веснянка,ДС Веснянка - ДС Веснянка (высадка пассажиров)
12,ДС Кунцевщина - ДС Сухарево-5,ДС Кунцевщина - ДС Сухарево-5
13,ДС Зелёный Луг-6 - Макаёнка,ДС Зелёный Луг-6 - Макаёнка
14,ДС Восточная - Степянка,ДС Восточная - Степянка
15,ДС Славинского - Фогеля,ДС Славинского - Фогеля
15д,ДС Уручье-2 - Фогеля,ДС Уручье-2 - Фогеля
16,ДС Ангарская-4 - ДС Чижовка,ДС Ангарская-4 - ДС Чижовка
17,ДС Сухарево-5 - ДС Кунцевщина,ДС Сухарево-5 - ДС Кунцевщина
18,ДС Восточная - Новинки,ДС Восточная - Новинки
19,ДС Карастояновой - Слепянка,ДС Карастояновой - Слепянка
20с,ДС Ангарская-4 - Станция метро Академия наук,ДС Ангарская-4 - Станция метро Академия наук
21,ДС Шабаны - ДС Чижовка,ДС Шабаны - ДС Чижовка
22,ДС Ангарская-4 - ДС Чижовка,ДС Ангарская-4 - ДС Чижовка
23,ДС Малиновка-4 - Городской Вал,ДС Малиновка-4 - Городской Вал
24,ДС Зелёный Луг-6 - Воронянского,ДС Зелёный Луг-6 - Воронянского
25,ДС Уручье-2 - Кульман,ДС Уручье-2 - Кульман
26,ДС Восточная - Павлины Медёлки,ДС Восточная - Павлины Медёлки
26а,ДС Восточная - Павлины Медёлки,ДС Восточная - Павлины Медёлки
27,ДС Ангарская-4 - Сосновый Бор,ДС Ангарская-4 - Сосновый Бор
27д,ДС Ангарская-4 - Запорожская площадь,ДС Ангарская-4 - Запорожская площадь
28,ДС Серова - Масюковщина,ДС Серова - Масюковщина
29,ДС Карастояновой - ДС Кунцевщина,ДС Карастояновой - ДС Кунцевщина
30с,Корженевского - Красный Бор,Корженевского - Красный Бор
31,ДС Уручье-2 - Колодищанское кладбище,ДС Уручье-2 - 2-е ворота
32с,ДС Малиновка-4 - ДС Дружная,ДС Малиновка-4 - ДС Дружная
33,Копище - Станция метро Уручье,Копище - Станция метро Уручье
34,ДС Славинского - Переулок Липковский,ДС Славинского - Переулок Липковский
35,ДС Зелёный Луг-6 - Макаёнка,ДС Зелёный Луг-6 - Макаёнка
36,ДС Кунцевщина - Тарасово,ДС Кунцевщина - Тарасово
37,ДС Карбышева - ДС Восточная,ДС Карбышева - ДС Восточная
38,ДС Карастояновой - Бобруйская,ДС Карастояновой - РК Бобруйская
39,ДС Восточная - Щедрина,ДС Восточная - Щедрина
40,ДС Кунцевщина - Ландера,ДС Кунцевщина - Ландера
41,ДС Одоевского - Каменная Горка-5,ДС Одоевского - Каменная Горка-5
42,ДС Сухарево-5 - Люцинская,ДС Сухарево-5 - Люцинская
43,ДС Дружная - Степянка,ДС Дружная - Степянка
43а,Станция метро Тракторный завод - Степянка,Станция метро Тракторный завод - Степянка
43д,Станция метро Тракторный завод - Степянка,Станция метро Тракторный завод - Степянка
44,ДС Карастояновой - Станция Ждановичи,ДС Карастояновой - Станция Ждановичи
45,ДС Дружная - Минскрыбпром,ДС Дружная - Минскрыбпром
46,ДС Масюковщина - РК Бобруйская,ДС Масюковщина - РК Бобруйская
47с,Вокзал - Филиал БГУ,Вокзал - Филиал БГУ
48,ДС Чижовка - Ландера,ДС Чижовка - Ландера
49,ДС Масюковщина - Переулок Софьи Ковалевской,ДС Масюковщина - Переулок Софьи Ковалевской
50с,ДС Сухарево-5 - Вокзал,ДС Сухарево-5 - Кирова
51,ДС Чижовка-1 - Железнодорожная остановка Лошица,ДС Чижовка-1 - Железнодорожная остановка Лошица
52,ДС Лермонтова - Червенский рынок,ДС Лермонтова - Червенский рынок
53,ДС Дружная - Ландера,ДС Дружная - Ландера
54,ДС Запад-3 - Станция метро Спортивная,ДС Запад-3 - Станция метро Спортивная
55,Автовокзал Восточный - Железнодорожная станция Минск-Южный,Автовокзал Восточный - Железнодорожная станция Минск-Южный
57,ДС Восточная - Семашко,ДС Восточная - Семашко
58,Автостанция Автозаводская - Торговый центр ОМА,Автостанция Автозаводская - Торговый центр ОМА
59,ДС Чижовка - Кульман,ДС Чижовка - Кульман
60,ДС Запад-3 - ТЦ Ждановичи,ДС Запад-3 - ТЦ Ждановичи
61,ДС Ангарская-4 - Селицкого,"ДС Ангарская-4 - Селицкого, 11"
62э,ДС Запад-3 - Новинки,ДС Запад-3 - Новинки
63,ДС Уручье-2 - Великий Лес,ДС Уручье-2 - Великий Лес
63д,ДС Уручье-2 - Фогеля,ДС Уручье-2 - Фогеля
64,ДС Уручье-2 - Макаёнка,ДС Уручье-2 - Макаёнка
65,ДС Лошица-2 - Городской Вал,ДС Лошица-2 - Городской Вал
66,Автостанция Автозаводская - Промышленная,Автостанция Автозаводская - Промышленная
67,ДС Чижовка - Колядичи,ДС Чижовка - Колядичи
68,ДС Карастояновой - Северное кладбище,ДС Карастояновой - 2-е ворота
69,Вокзал - Масюковщина,Вокзал - Масюковщина
70,Автостанция Автозаводская - Дражня,Автозаводская - Дражня
71,Станция метро Тракторный завод - Степянка,Станция метро Тракторный завод - Степянка
72,ДС Шабаны - Станция метро Могилёвская,ДС Шабаны - Автозаводская
72д,Станция метро Могилёвская - Электродепо Могилёвское,Автозаводская - Электродепо Могилёвское
73,ДС Серова - Лебяжий,ДС Серова - Лебяжий
74с,ДС Малиновка-4 - Городской Вал,ДС Малиновка-4 - Городской Вал
75,ДС Малиновка-4 - Станция метро Петровщина,ДС Малиновка-4 - Станция метро Петровщина
76э,ДС Ангарская-4 - ТЦ Ждановичи,ДС Ангарская-4 - ТЦ Ждановичи
77,Магистр - ДС Уручье-2,ДС Уручье-2 - Магистр
78,ДС Каменная горка-5 - Бобруйская,ДС Каменная горка-5 - РК Бобруйская
79,Автостанция Автозаводская - Вокзал,Автозаводская - Вокзал
79д,Автостанция Автозаводская - Станция аэрации - Вокзал,Автозаводская - Вокзал
80,ДС Карбышева - Великий Лес,ДС Карбышева - Великий Лес
81э,ДС Лошица-2 - Вокзал,ДС Лошица-2 - Вокзал
82с,ДС Серебрянка - Корженевского,ДС Серебрянка - Корженевского
83э,ДС Малиновка-4 - ТЦ Ждановичи,ДС Малиновка-4 - ТЦ Ждановичи
84,ДС Малиновка-4 - Слепянка,ДС Малиновка-4 - Слепянка
85с,ДС Дружная - Гатово,ДС Дружная - Гатово
86,Копище - Озерище,Копище - Озерище
87с,ДС Зелёный Луг-6 - Автостанция Автозаводская,ДС Зелёный Луг-6 - Автостанция Автозаводская
88с,ДС Ангарская-4 - Ландера,ДС Ангарская-4 - Ландера
89э,ДС Уручье-2 - ТЦ Ждановичи,ДС Уручье-2 - ТЦ Ждановичи
90,Автостанция Юго-Западная - Юрия Семеняко - Автостанция Юго-Западная,Автостанция Юго-Западная - Автостанция Юго-Западная
91,ДС Калиновского - Веснинка,ДС Калиновского - Веснинка
93,ДС Шабаны - Старый аэропорт,ДС Шабаны - Старый аэропорт
94с,Автостанция Автозаводская - Чижовское кладбище,Автостанция Автозаводская - Чижовское кладбище
95,ДС Калиновского - Степянка,ДС Калиновского - Степянка
96,ДС Малиновка-4 - Филиал БГУ,ДС Малиновка-4 - Филиал БГУ
97,ДС Серова - Малиновка-8,ДС Серова - Малиновка-8
98с,Станция метро Могилёвская - ДС Лошица-2,ДС Лошица-2 - Автозаводская
99,ДС Уручье-4 - Военная академия,ДС Уручье-4 - Виталюр
100,ДС Славинского - Старый аэропорт,ДС Славинского - Старый аэропорт
101,ДС Дружная - ТЦ Ждановичи,ДС Дружная - ТЦ Ждановичи
102,ДС Чижовка - Вокзал,ДС Чижовка - Вокзал
103,ДС Юго-Запад - ДС Малиновка-4,ДС Юго-Запад - ДС Малиновка-4
104,ДС Малиновка-4 - Сеница,ДС Малиновка-4 - Центр Культуры (Сеница)
105,ДС Карастояновой - Зацень (Минская),ДС Карастояновой - Минская
106,ДС Ангарская-4 - Станция метро Тракторный завод,ДС Ангарская-4 - Станция метро Тракторный завод
107,ДС Кунцевщина - Корженевского,ДС Кунцевщина - Корженевского
108,Автостанция Автозаводская - Гатово,Автозаводская - Гатово
108б,ДС Чижовка - Гатово,ДС Чижовка - Гатово
108д,ДС Чижовка - Гатово,ДС Чижовка - Гатово
108п,Автостанция Автозаводская - Гатово,Автозаводская - Гатово
109,ДС Карбышева - Северное кладбище,ДС Карбышева - 1-е ворота
109в,ДС Карбышева - Цна - Северное кладбище,ДС Карбышева - 1-е ворота
110,Автостанция Автозаводская - Сосны,Автостанция Автозаводская - Сосны
110а,Автостанция Автозаводская - Сосны,Автостанция Автозаводская - Сосны
112а,Станция метро Автозаводская - Сокол,РК Станция метро Автозаводская - Сокол
112с,Автостанция Автозаводская - Сокол,Автостанция Автозаводская - Сокол
113а,ДС Уручье-4 - Областная больница,ДС Уручье-4 - Областная больница
113с,ДС Уручье-4 - РНПЦ Онкологии,ДС Уручье-4 - РНПЦ Онкологии
114с,ДС Чижовка - Авторынок,ДС Чижовка - Авторынок
115э,Вокзал - Тубдиспансер,РК Бобруйская - Тубдиспансер
116,ДС Каменная Горка-5 - Малиновка-8,ДС Каменная горка-5 - Малиновка-8
117д,ДС Чижовка - ДС Дражня,ДС Чижовка - ДС Дражня
117с,ДС Чижовка - ДС Дражня,ДС Чижовка - ДС Дражня
119с,Аквапарк - Вокзал,Аквапарк - Кирова
120,Малиновка-6 - Станция метро Малиновка,Малиновка-6 - Станция метро Малиновка
120д,Станция метро Малиновка - Малиновка-6,Станция метро Малиновка - Малиновка-6
121,ДС Сухарево-5 - ТЦ Ждановичи,ДС Сухарево-5 - ТЦ Ждановичи
122э,ДС Кунцевщина - Переулок Софьи Ковалевской,ДС Кунцевщина - Переулок Софьи Ковалевской
123,ДС Лошица-2 - Площадь Независимости,ДС Лошица-2 - Площадь Независимости
124,ДС Лошица-2 - Станция метро Пушкинская,ДС Лошица-2 - РК Берута
125,ДС Запад-3 - ТЦ Ждановичи,ДС Запад-3 - ТЦ Ждановичи
126,Масюковщина - ДС Одоевского,Масюковщина - ДС Одоевского
127,ДС Серебрянка - Площадь Независимости,ДС Серебрянка - Площадь Независимости
128,Каменная Горка-4 - Станция метро Каменная Горка,Каменная Горка-4 - Станция метро Каменная Горка
129,Автостанция Автозаводская - Станция аэрации,Автостанция Автозаводская - Станция аэрации
130,ДС Одоевского - ТЦ Ждановичи,ДС Одоевского - ТЦ Ждановичи
131,ДС Карастояновой - Цнянка,ДС Карастояновой - Цнянка
132,Щомыслица - ДС Малиновка-4,ДС Малиновка-4 - Щомыслица
133,ДС Карбышева - ДС Веснянка,ДС Карбышева - ДС Веснянка
134с,ДС Чижовка - ДС Малиновка-4,ДС Чижовка - ДС Малиновка-4
135,Новая Боровая - Станция метро Уручье,Новая Боровая - Станция метро Уручье
136,ДС Карастояновой - Оздоровительный центр Ждановичи,ДС Карастояновой - Оздоровительный центр Ждановичи
137,ДС Кунцевщина - Водоочистительная станция,ДС Кунцевщина - Водоочистительная станция
138,ДС Кунцевщина - Промузел Западный,ДС Кунцевщина - Промузел Западный
139,ДС Калиновского - Танковая,ДС Калиновского - Танковая
140,ДС Сухарево-5 - ТЦ Ждановичи,ДС Сухарево-5 - ТЦ Ждановичи
141,ДС Карбышева - Областная больница,ДС Карбышева - Областная больница
141а,ДС Карбышева - Боровлянская школа №3,ДС Карбышева - Боровлянская школа №3
141б,Боровлянская школа №3 - Областная больница - Боровлянская школа №3,Боровлянская школа №3 - Боровлянская школа №3
142,ДС Малиновка-4 - Промузел Западный,ДС Малиновка-4 - Промузел Западный
143,ДС Карбышева - Зеленый Бор,ДС Карбышева - Зелёный Бор
144с,ДС Кунцевщина - ДС Курасовщина,ДС Кунцевщина - ДС Курасовщина
145с,ДС Уручье-2 - Тубдиспансер,ДС Уручье-2 - Тубдиспансер
146с,ДС Карбышева - Дроздово,ДС Карбышева - Дроздово
147,ДС Малиновка-4 - Брилевичи,ДС Малиновка-4 - Брилевичи
148с,ДС Шабаны - Ландера,ДС Шабаны - Ландера
149,ДС Запад-3 - Люцинская,ДС Запад-3 - Люцинская
150,Брилевичи - Озерцо,Брилевичи - Озерцо
151э,ДС Серебрянка - ТЦ Ждановичи,ДС Серебрянка - ТЦ Ждановичи
152с,ДС Каменная горка-5 - ДС Одоевского,"Каменногорская, 14 - ДС Одоевского"
153,Танковая - Станция метро Уручье,Танковая - Станция метро Уручье
153д,Танковая - Станция метро Уручье,Танковая - Станция метро Уручье
154,ДС Карастояновой - Щедрина,ДС Карастояновой - Щедрина
155,ДС Уручье-4 - Озерище,"ДС Уручье-4 - Горбатова, 73"
156с,ДС Юго-Запад - Водоочистительная станция,ДС Юго-Запад - Водоочистительная станция
157,ДС Карбышева - Маневича,ДС Карбышева - Маневича
158,ДС Карбышева - Валерьяново,ДС Карбышева - Валерьяново
159,ДС Запад-3 - Каменная Горка-5 - ДС Запад-3,ДС Запад-3 - ДС Запад-3 (высадка пассажиров)
160,Автостанция Автозаводская - Институт Сосны,Автостанция Автозаводская - Институт Сосны
160а,Автостанция Автозаводская - Институт Сосны,Автостанция Автозаводская - Институт Сосны
161,Автостанция Автозаводская - Полигон Тростенецкий - Сосны,Автостанция Автозаводская - Сосны
161а,Автостанция Автозаводская - Сосны - Полигон Тростенецкий,Автостанция Автозаводская - Сосны
161с,Автостанция Автозаводская - АкваТрайпл - Полигон Тростенецкий,Автостанция Автозаводская - Полигон Тростенецкий
162,ДС Карбышева - Цна,ДС Карбышева - Цна
163,ДС Сухарево-5 - Воронянского,ДС Сухарево-5 - Воронянского
165,ДС Калиновского - Геологический переулок,ДС Калиновского - Геологический переулок
166,Автостанция Юго-Западная - Михалово-2,Автостанция Юго-Западная - Михалово-2
167,ДС Уручье-2 - Колодищи,ДС Уручье-2 - Колодищи
168,Автостанция Автозаводская - АкваТрайпл - Сосны,Автостанция Автозаводская - Сосны
168а,Автостанция Автозаводская - Сосны - АкваТрайпл,Автостанция Автозаводская - Сосны
169,ДС Уручье-2 - Железнодорожная станция Колодищи,ДС Уручье-2 - Железнодорожная станция Колодищи
170э,Автостанция Юго-Западная - Западное кладбище,Автостанция Юго-Западная - Западное кладбище
173э,Сокол - Национальный аэропорт Минск,Сокол - Национальный аэропорт Минск
175э,Вокзал - Колядичи,Вокзал - Колядичи
176э,ДС Серова - ДС Шабаны,ДС Серова - ДС Шабаны
177э,ДС Кунцевщина - Озерцо,ДС Кунцевщина - Озерцо
178э,Автостанция Автозаводская - Кладбище Лесное,Автостанция Автозаводская - Могилки Лесные
181с,Каменная Горка-5 - ДС Масюковщина,Каменная Горка-5 - ДС Масюковщина
183с,ДС Лошица-2 - ДС Серебрянка,ДС Лошица-2 - ДС Серебрянка
184с,ДС Каменная Горка-5 - ДС Одоевского,ДС Каменная горка-5 - ДС Одоевского
185с,ДС Каменная Горка-5 - Масюковщина,ДС Каменная горка-5 - Масюковщина
186,Станция метро Могилёвская - Шишкина,Станция метро Могилёвская - Шишкина
189э,ДС Запад-3 - РКМЦ,ДС Запад-3 - Республиканский клинический медицинский центр
190э,Вокзал - РКМЦ,Вокзал - Республиканский клинический медицинский центр
191,ДС Лошица-2 - Воронянского,ДС Лошица-2 - Воронянского
194с,ДС Уручье-2 - Колодищи-2 (Полигон),ДС Уручье-2 - ул. Праменистая
195,ДС Уручье-2 - МТЗ Колодищи,ДС Уручье-2 - МТЗ Колодищи
199с,ДС Шабаны - Сосны,ДС Шабаны - Сосны
