number,name,otherName
2,ДС Уручье-2 - ДС Зелёный Луг-7,ДС Уручье-2 - ДС Зелёный Луг-7
3,ДС Ангарская-4 - Вокзал,ДС Ангарская-4 - Вокзал
4,ДС Одоевского - Бобруйская,ДС Одоевского - РК Бобруйская
5,Червенский рынок - Вокзал,Червенский рынок - Вокзал
6,ДС Лошица-2 - Вокзал,ДС Лошица-2 - Вокзал
7,ДС Сухарево-5 - Бобруйская,ДС Сухарево-5 - РК Бобруйская
8,ДС Сухарево-5 - ДС Дружная,ДС Сухарево-5 - ДС Дружная
9,ДС Кунцевщина - Городской Вал,ДС Кунцевщина - Городской Вал
10,ДС Веснянка - ДС Малиновка-4,ДС Веснянка - ДС Малиновка-4
12,ДС Лермонтова - Площадь Бангалор,ДС Лермонтова - Площадь Бангалор
13,ДС Сухарево-5 - Городской Вал,ДС Сухарево-5 - Городской Вал
14,ДС Масюковщина - Городской Вал,ДС Масюковщина - Городской Вал
15,ДС Лошица-2 - ДС Дражня,ДС Лошица-2 - ДС Дражня
16,ДС Чижовка-1 - Вокзал,ДС Чижовка-1 - Вокзал
17,ДС Дражня - ДС Чижовка-6,ДС Дражня - ДС Чижовка-6
19,ДС Серебрянка - ДС Курасовщина,ДС Серебрянка - ДС Курасовщина
20,ДС Серебрянка - Вокзал,ДС Серебрянка - Вокзал
21,ДС Сухарево-5 - Люцинская,ДС Сухарево-5 - Люцинская
22,ДС Карастояновой - ст.м. пл.Я.Коласа,ДС Карастояновой - Станция метро Площадь Якуба  Коласа
24,ДС Лошица-2 - ДС Серебрянка,ДС Лошица-2 - ДС Серебрянка
25,ДС Кунцевщина - ДС Малиновка-4,ДС Кунцевщина - ДС Малиновка-4
26,ДС Чижовка-1 - Станция метро Автозаводская,ДС Чижовка-1 - РК Станция метро Автозаводская
27,ДС Курасовщина - ДС Дружная,ДС Курасовщина - ДС Дружная
29,ДС Калиновского - Станция метро Площадь Франтишка Богушевича,ДС Калиновского - Музыкальный театр
30,ДС Малинина - Вокзал,ДС Малинина - Вокзал
31,ДС Кунцевщина - ДС Семашко,ДС Кунцевщина - ДС Семашко
32,ДС Малиновка-4 - Станция метро Петровщина,ДС Малиновка-4 - Станция метро Петровщина
33,ДС Дражня - ДС Одоевского,ДС Дражня - ДС Одоевского
34,ДС Ангарская-4 - Зелёный Луг-3,ДС Ангарская-4 - Зелёный Луг-3
35,ДС Славинского - ДС Серебрянка,ДС Славинского - ДС Серебрянка
36,ДС Юго-Запад - ДС Серебрянка,ДС Юго-Запад - ДС Серебрянка
37,ДС Уручье-4 - Станция метро Площадь Франтишка Богушевича,ДС Уручье-4 - Музыкальный театр
38,ДС Сухарево-5 - ДС Славинского,ДС Сухарево-5 - ДС Славинского
39,ДС Юго-Запад - Саперов,ДС Юго-Запад - Саперов
40,ДС Юго-Запад - ДС Карастояновой,ДС Юго-Запад - ДС Карастояновой
41,ДС Уручье-2 - ДС Малинина,ДС Уручье-2 - ДС Малинина
42,ДС Уручье-4 - ДС Дражня,ДС Уручье-4 - ДС Дражня
43,ДС Серова - ДС Дружная,ДС Серова - ДС Дружная
44,ДС Запад-3 - Бобруйская,ДС Запад-3 - РК Бобруйская
45,ДС Сухарево-5 - Станция метро Петровщина,ДС Сухарево-5 - Станция метро Петровщина
46,ДС Зелёный Луг-7 - Станция метро Площадь Франтишка Богушевича,ДС Зелёный Луг-7 - Музыкальный театр
47,ДС Малиновка-4 - ДС Масюковщина,ДС Малиновка-4 - ДС Масюковщина
49,ДС Чижовка-1 - Олега Кошевого,ДС Чижовка-1 - Олега Кошевого
51,ДС Курасовщина - ДС Дружная,ДС Курасовщина - ДС Дружная
52,ДС Малиновка-4 - Люцинская,ДС Малиновка-4 - Люцинская
53,ДС Малиновка-4 - ДС Зелёный Луг-7,ДС Малиновка-4 - ДС Зелёный Луг-7
54,ДС Масюковщина - Дом кино,ДС Масюковщина - Дом кино
55,ДС Кунцевщина - Академическая,ДС Кунцевщина - РК Академическая
56,ДС Серебрянка - Дражня,ДС Серебрянка - Дражня
57,ДС Сухарево-5 - Городской Вал,ДС Сухарево-5 - Городской Вал
58,ДС Масюковщина - Бобруйская,ДС Масюковщина - РК Бобруйская
59,ДС Серова - Долгобродская,ДС Серова - Долгобродская
60,ДС Ангарская-4 - Станция метро Могилёвская,ДС Ангарская-4 - Станция метро Могилёвская
61,ДС Уручье-2 - Академическая,ДС Уручье-2 - Академическая
63,ДС Юго-Запад - ДС Дружная,ДС Юго-Запад - ДС Дружная
64,ДС Малиновка-4 - ДС Дружная,ДС Малиновка-4 - ДС Дружная
67,ДС Ангарская-4 - Автовокзал Восточный,ДС Ангарская-4 - Автовокзал Восточный
68,ДС Уручье-2 - Академическая,ДС Уручье-2 - Академическая
77,ДС Сухарево-5 - Саперов,ДС Сухарево-5 - Саперов
92,ДС Карастояновой - ДС Чижовка-6,ДС Карастояновой - ДС Чижовка-6
